파자, 68, 182
다다, 83, 146
하자, 59, 168
아나, 55, 145
마파, 96, 176
라파, 74, 180
마바, 68, 163
바바, 91, 152
바차, 84, 179
사라, 65, 142
사나, 53, 182
아바, 64, 178
바바, 46, 175
마라, 56, 154
라차, 96, 156
하하, 43, 153
라카, 55, 183
사마, 85, 144
아가, 53, 172
마카, 82, 165
아차, 97, 162
자라, 60, 162
나바, 85, 168
다자, 61, 146
나라, 80, 170
타타, 67, 147
마바, 92, 155
타하, 79, 190
차하, 68, 195
카나, 46, 160
하마, 46, 168
다가, 95, 147
자사, 90, 184
다차, 81, 153
차아, 99, 142
아가, 49, 156
차바, 97, 190
카타, 50, 163
마바, 76, 177
타바, 67, 166
사파, 44, 198
타하, 95, 176
카자, 60, 158
아바, 76, 177
자자, 46, 188
라사, 54, 150
나바, 41, 185
라차, 99, 146
아자, 84, 186
다나, 93, 160
차아, 59, 167
다아, 87, 145
차가, 88, 148
차마, 93, 186
다하, 70, 185
차차, 40, 174
사카, 76, 198
차카, 76, 170
가파, 54, 185
아타, 46, 187
마다, 56, 142
아마, 74, 193
마바, 71, 182
카나, 54, 148
차가, 48, 145
가라, 63, 198
사자, 96, 142
라타, 59, 148
나아, 91, 153
아차, 88, 192
가아, 51, 197
다바, 73, 169
마카, 98, 173
나나, 44, 175
다아, 81, 156
타사, 42, 158
사타, 56, 148
차파, 94, 183
가차, 94, 167
다가, 50, 154
자다, 68, 182
하마, 94, 198
라아, 45, 189
파바, 86, 193
마카, 54, 194
카다, 40, 140
타파, 52, 198
나아, 78, 177
마라, 77, 144
카라, 40, 159
가하, 47, 157
아마, 42, 168
나다, 95, 193
아타, 69, 189
파가, 76, 142
차하, 87, 158
마차, 91, 173
타파, 96, 149
다마, 64, 170
바타, 44, 167
사하, 43, 155
가타, 46, 178
차마, 60, 160
자바, 54, 167
나라, 95, 173
하마, 73, 142
카아, 76, 141
아하, 98, 158
가파, 85, 177
라라, 73, 176
아파, 65, 193
아바, 61, 189
자아, 97, 184
파다, 61, 168
자타, 40, 174
라카, 92, 189
다다, 85, 146
아나, 58, 152
타파, 65, 193
파파, 66, 158
타나, 49, 174
마하, 95, 185
하차, 83, 189
가차, 73, 178
차가, 48, 182
사하, 51, 188
사타, 92, 140
라나, 71, 145
타하, 56, 190
아타, 65, 172
라타, 66, 180
가아, 80, 188
아자, 79, 161
다나, 87, 196
자하, 76, 168
다나, 82, 140
나마, 66, 182
하가, 79, 146
다하, 80, 180
하자, 56, 172
아가, 50, 142
자사, 80, 171
가마, 70, 172
자차, 50, 159
타가, 74, 180
파바, 77, 148
카마, 61, 141
바가, 65, 145
마바, 50, 176
마라, 55, 193
나자, 53, 189
타사, 66, 151
사마, 73, 140
아자, 43, 151
라차, 85, 190
바자, 72, 154
라타, 97, 155
파하, 74, 197
카다, 87, 169
사라, 58, 177
타카, 80, 161
다하, 47, 181
바하, 40, 150
아아, 72, 195
나마, 62, 160
마자, 61, 193
마다, 43, 152
아차, 72, 141
아다, 65, 142
사자, 82, 190
타사, 41, 154
마바, 73, 174
카라, 89, 188
다가, 56, 185
사자, 44, 194
하파, 46, 163
나마, 60, 166
가마, 59, 198
바아, 73, 186
하하, 84, 141
나사, 59, 199
마타, 65, 186
하하, 53, 165
아아, 85, 178
다하, 76, 185
가나, 86, 168
카바, 60, 161
다다, 52, 151
아차, 97, 151
자카, 49, 166
하타, 40, 188
카바, 55, 164
가카, 59, 150
마바, 54, 145
카자, 97, 199
하라, 47, 172
카바, 51, 186
바파, 90, 149
타바, 41, 178
타파, 92, 189
가마, 70, 146
타자, 70, 168
타바, 92, 163
다타, 43, 183
바파, 74, 146
자사, 75, 180
사타, 54, 191
마자, 99, 157
타다, 42, 185
타하, 96, 151
타아, 53, 142
가타, 43, 149
사자, 49, 170
라자, 45, 168
마파, 65, 192
다타, 93, 178
파파, 71, 154
파카, 45, 174
가사, 72, 140
하자, 91, 178
카다, 72, 196
가카, 86, 160
타아, 46, 141
나바, 49, 147
바하, 80, 194
바타, 79, 157
바차, 78, 188
라자, 64, 189
아사, 81, 145
다하, 40, 161
가바, 78, 192
바아, 71, 177
카차, 53, 186
카바, 66, 141
차하, 42, 162
나마, 90, 162
바가, 56, 145
마바, 44, 198
하파, 59, 185
가가, 69, 159
파아, 74, 169
하아, 56, 174
바다, 52, 192
가가, 62, 189
카파, 84, 162
다차, 94, 188
다하, 69, 188
나나, 82, 144
바사, 77, 143
파하, 82, 155
타라, 47, 177
하바, 46, 151
바다, 41, 179
타사, 42, 183
라하, 81, 175
타라, 41, 154
카아, 56, 155
다자, 98, 198
하다, 55, 189
자차, 77, 167
나아, 66, 155
카차, 65, 185
아카, 74, 192
타아, 51, 171
타하, 67, 188
하나, 41, 174
차하, 61, 196
바가, 97, 178
나나, 71, 173
하아, 64, 156
사라, 99, 170
파마, 58, 199
사하, 99, 150
카마, 90, 147
